t,v
2016-11-07T00:00:00Z,17912
2016-11-08T00:00:00Z,16634
2016-11-09T00:00:00Z,17118
2016-11-10T00:00:00Z,15675
2016-11-11T00:00:00Z,17355
2016-11-12T00:00:00Z,16049
2016-11-13T00:00:00Z,17374
2016-11-14T00:00:00Z,15696
2016-11-15T00:00:00Z,16864
2016-11-16T00:00:00Z,15608
2016-11-17T00:00:00Z,15664
2016-11-18T00:00:00Z,16174
2016-11-19T00:00:00Z,15527
2016-11-20T00:00:00Z,16184
2016-11-21T00:00:00Z,15905
2016-11-22T00:00:00Z,29333
2016-11-23T00:00:00Z,38690
2016-11-24T00:00:00Z,15802
2016-11-25T00:00:00Z,27720
2016-11-26T00:00:00Z,14408
2016-11-27T00:00:00Z,15693
2016-11-28T00:00:00Z,16437
2016-11-29T00:00:00Z,15063
2016-11-30T00:00:00Z,16222
2016-12-01T00:00:00Z,14715
2016-12-02T00:00:00Z,16556
2016-12-03T00:00:00Z,16472
2016-12-04T00:00:00Z,16946
2016-12-05T00:00:00Z,15877
2016-12-06T00:00:00Z,18086
2016-12-07T00:00:00Z,14955
2016-12-08T00:00:00Z,15091
2016-12-09T00:00:00Z,16041
2016-12-10T00:00:00Z,14647
2016-12-11T00:00:00Z,15171
2016-12-12T00:00:00Z,15800
2016-12-13T00:00:00Z,14426
2016-12-14T00:00:00Z,16366
2016-12-15T00:00:00Z,17342
2016-12-16T00:00:00Z,16129
2016-12-17T00:00:00Z,14792
2016-12-18T00:00:00Z,13456
2016-12-19T00:00:00Z,16628
2016-12-20T00:00:00Z,16558
2016-12-21T00:00:00Z,15826
2016-12-22T00:00:00Z,22937
2016-12-23T00:00:00Z,17157
2016-12-24T00:00:00Z,15106
2016-12-25T00:00:00Z,13699
2016-12-26T00:00:00Z,13753
2016-12-27T00:00:00Z,14339
2016-12-28T00:00:00Z,15062
2016-12-29T00:00:00Z,15042
2016-12-30T00:00:00Z,15501
2016-12-31T00:00:00Z,15400
2017-01-01T00:00:00Z,13695
2017-01-02T00:00:00Z,14916
2017-01-03T00:00:00Z,14612
2017-01-04T00:00:00Z,17688
2017-01-05T00:00:00Z,18556
2017-01-06T00:00:00Z,16828
2017-01-07T00:00:00Z,16353
2017-01-08T00:00:00Z,15423
2017-01-09T00:00:00Z,17012
2017-01-10T00:00:00Z,16033
2017-01-11T00:00:00Z,16114
2017-01-12T00:00:00Z,17244
2017-01-13T00:00:00Z,16395
2017-01-14T00:00:00Z,15653
2017-01-15T00:00:00Z,15980
2017-01-16T00:00:00Z,16685
2017-01-17T00:00:00Z,17444
2017-01-18T00:00:00Z,16307
2017-01-19T00:00:00Z,16179
2017-01-20T00:00:00Z,17870
2017-01-21T00:00:00Z,16126
2017-01-22T00:00:00Z,16266
2017-01-23T00:00:00Z,16462
2017-01-24T00:00:00Z,17417
2017-01-25T00:00:00Z,16199
2017-01-26T00:00:00Z,16431
2017-01-27T00:00:00Z,16081
2017-01-28T00:00:00Z,16088
2017-01-29T00:00:00Z,15472
2017-01-30T00:00:00Z,16731
2017-01-31T00:00:00Z,15702
2017-02-01T00:00:00Z,16291
2017-02-02T00:00:00Z,16344
2017-02-03T00:00:00Z,15984
2017-02-04T00:00:00Z,16880
2017-02-05T00:00:00Z,16934
2017-02-06T00:00:00Z,16222
2017-02-07T00:00:00Z,16512
2017-02-08T00:00:00Z,16933
2017-02-09T00:00:00Z,17008
2017-02-10T00:00:00Z,16920
2017-02-11T00:00:00Z,15889
2017-02-12T00:00:00Z,16993
2017-02-13T00:00:00Z,18332
2017-02-14T00:00:00Z,19122
2017-02-15T00:00:00Z,19126
2017-02-16T00:00:00Z,18244
2017-02-17T00:00:00Z,18030
2017-02-18T00:00:00Z,18016
2017-02-19T00:00:00Z,17208
2017-02-20T00:00:00Z,18484
2017-02-21T00:00:00Z,18234
2017-02-22T00:00:00Z,18186
2017-02-23T00:00:00Z,17744
2017-02-24T00:00:00Z,19618
2017-02-25T00:00:00Z,18678
2017-02-26T00:00:00Z,18723
2017-02-27T00:00:00Z,20065
2017-02-28T00:00:00Z,23008
2017-03-01T00:00:00Z,24640
2017-03-02T00:00:00Z,31671
2017-03-03T00:00:00Z,26417
2017-03-04T00:00:00Z,23528
2017-03-05T00:00:00Z,22794
2017-03-06T00:00:00Z,23216
2017-03-07T00:00:00Z,21801
2017-03-08T00:00:00Z,21949
2017-03-09T00:00:00Z,25259
2017-03-10T00:00:00Z,24360
2017-03-11T00:00:00Z,24568
2017-03-12T00:00:00Z,26279
2017-03-13T00:00:00Z,34416
2017-03-14T00:00:00Z,30083
2017-03-15T00:00:00Z,31515
2017-03-16T00:00:00Z,44081
2017-03-17T00:00:00Z,43475
2017-03-18T00:00:00Z,36139
2017-03-19T00:00:00Z,31688
2017-03-20T00:00:00Z,32258
